PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
290.0,145.0,59.0,10.0,11.0,52.0,21.0,290.0
342.0,229.0,21.0,11.0,18.0,47.0,15.0,342.0
357.0,252.0,28.0,13.0,12.0,93.0,7.0,357.0
217.0,115.0,36.0,6.0,12.0,61.0,12.0,217.0
294.0,174.0,57.0,9.0,28.0,88.0,63.0,294.0
277.0,147.0,43.0,9.0,14.0,46.0,8.0,277.0
188.0,127.0,5.0,8.402852049910873,16.427413411938097,72.0,32.0,188.0
297.0,168.0,52.0,17.0,19.0,65.0,16.0,297.0
225.0,131.0,69.0,8.402852049910873,16.427413411938097,3.0,10.0,225.0
270.0,143.0,27.0,5.0,6.0,71.0,24.0,270.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,46.0,4.0,306.0
261.0,179.0,65.0,6.0,15.0,54.0,12.0,261.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,44.0,9.0,306.0
178.0,141.6742671009772,61.0,8.0,6.0,43.0,29.813642756680732,178.0
243.0,122.0,59.0,3.0,8.0,86.0,7.0,243.0
291.0,165.0,205.0,21.0,16.427413411938097,71.0,5.0,291.0
238.0,140.0,90.0,14.0,25.0,54.0,30.0,238.0
209.0,143.0,34.0,8.402852049910873,16.427413411938097,84.0,17.0,209.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,52.0,12.0,306.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,98.0,2.0,306.0
285.0,165.0,43.0,16.0,15.0,79.0,29.813642756680732,285.0
270.0,141.6742671009772,49.0,8.402852049910873,15.0,51.0,28.0,270.0
232.0,131.0,47.0,10.0,7.0,39.0,18.0,232.0
244.0,138.0,52.0,12.0,16.427413411938097,40.0,18.0,244.0
280.0,153.0,48.0,17.0,19.0,48.0,7.0,280.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,54.0,16.0,306.0
258.0,146.0,52.0,10.0,21.0,67.0,10.0,258.0
238.0,145.0,23.0,18.0,5.0,48.0,6.0,238.0
247.0,141.0,68.0,9.0,23.0,67.0,8.0,247.0
252.0,133.0,51.0,13.0,17.0,49.0,10.0,252.0
161.0,118.0,55.0,8.402852049910873,16.427413411938097,38.0,21.0,161.0
143.0,134.0,69.0,5.0,17.0,46.0,24.0,143.0
290.0,141.6742671009772,29.0,15.0,6.0,56.0,8.0,290.0
303.0,141.6742671009772,103.0,8.402852049910873,18.0,67.0,3.0,303.0
244.0,166.0,55.0,6.0,6.0,51.0,17.0,244.0
294.0,177.0,45.0,12.0,13.0,71.0,25.0,294.0
222.0,114.0,54.0,10.0,11.0,52.0,16.0,222.0
294.0,163.0,15.0,10.0,30.0,58.0,17.0,294.0
316.0,193.0,25.0,13.0,11.0,97.0,10.0,316.0
221.0,116.0,37.0,6.0,12.0,61.0,13.0,221.0
296.0,173.0,56.0,9.0,27.0,92.0,65.0,296.0
281.0,147.0,45.0,9.0,14.0,51.0,9.0,281.0
193.0,128.0,5.0,8.402852049910873,16.427413411938097,71.0,34.0,193.0
298.0,167.0,53.0,17.0,18.0,68.0,19.0,298.0
226.0,130.0,65.0,8.402852049910873,16.427413411938097,3.0,10.0,226.0
271.0,141.0,28.0,5.0,6.0,75.0,30.0,271.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,44.0,4.0,306.0
260.0,174.0,65.0,6.0,15.0,58.0,14.0,260.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,51.0,11.0,306.0
182.0,141.6742671009772,63.0,8.0,6.0,48.0,29.813642756680732,182.0
249.0,123.0,60.0,3.0,7.0,91.0,7.0,249.0
289.0,162.0,205.0,22.0,16.427413411938097,74.0,5.0,289.0
242.0,140.0,91.0,14.0,25.0,56.0,31.0,242.0
222.0,140.0,34.0,8.402852049910873,16.427413411938097,86.0,17.0,222.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,52.0,12.0,306.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,101.0,3.0,306.0
284.0,163.0,44.0,16.0,15.0,84.0,29.813642756680732,284.0
265.0,141.6742671009772,50.0,8.402852049910873,14.0,51.0,21.0,265.0
227.0,127.0,49.0,10.0,7.0,39.0,20.0,227.0
242.0,138.0,52.0,12.0,16.427413411938097,40.0,21.0,242.0
281.0,152.0,49.0,17.0,19.0,49.0,9.0,281.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,53.0,18.0,306.0
263.0,147.0,51.0,10.0,21.0,67.0,13.0,263.0
241.0,145.0,23.0,18.0,5.0,50.0,5.0,241.0
252.0,142.0,70.0,9.0,23.0,73.0,7.0,252.0
253.0,132.0,52.0,13.0,17.0,52.0,10.0,253.0
164.0,119.0,56.0,8.402852049910873,16.427413411938097,39.0,19.0,164.0
144.0,134.0,69.0,5.0,17.0,48.0,24.0,144.0
291.0,141.6742671009772,30.0,15.0,6.0,60.0,10.0,291.0
